saved_inputs_1:
1, 53%
7, 57%
35, 60
54, 75
125, 78
1500, 82
14000, 85%
17000, 89%

saved_inputs_1:
1, 53%
8, 57%
31, 64
132, 82
17900, 85

saved_inputs_1:
1, 53%
8, 57%
68, 71
85, 75
126, 78
172, 82
350, 85
10700, 89
18300, 92



saved_inputs_1:
1, 53%
8, 57%
48, 60
91, 75
144, 78
304, 82
590, 85
4089, 89
5800, 92
15834, 96

saved_inputs_1:
1, 53%
8, 57%
33, 71
52, 78
78, 82
293, 85
489, 89
8321, 92
