# pgfuzz20-noDepth
saved_inputs_1:
1, 53%
7, 57%
50, 71
136, 75
172, 78
325, 82
750, 85%
15731, 89%

saved_inputs_1:
1, 53%
8, 57%
27, 71
116, 78
344, 85
9054, 89
20448, 96

saved_inputs_1:
1, 53%
8, 57%
32, 71
51, 75
123, 78
172, 85
295, 92
11049, 96
15464, 100

#INVALID RUN saved_inputs_1:
#1, 53%
#8, 57%
#30, 75
#138, 78
#188, 82
#374, 85
#1779, 89
#3054, 92

saved_inputs_1:
1, 53%
8, 57%
21, 71
186, 75
323, 85
6456, 89
25381, 92
28054, 96
